tota_name	tota_number	date_signed	p1	p2	year	decade	region	composition	crossregional	wto
Eurasian Economic Union (EAEU) - Accession of the Kyrgyz Republic	444	2014-12-23	ARM BLR KAZ KGZ RUS		2014	201	Commonwealth of Independent States (CIS)	Plurilateral	No	No
Gulf Cooperation Council (GCC) - Singapore	443	2008-12-15	ARE BHR KWT OMN QAT SAU SGP		2008	200	Middle East; East Asia	Bilateral; One Party is an RTA	Yes	Yes
Canada - Honduras	442	2013-11-05	CAN	HND	2013	201	North America; Central America	Bilateral	Yes	Yes
Eurasian Economic Union (EAEU) - Accession of Armenia	441	2014-10-10	ARM BLR KAZ RUS		2014	201	Commonwealth of Independent States (CIS)	Plurilateral	No	No
Eurasian Economic Union (EAEU)	440	2014-05-29	BLR KAZ RUS		2014	201	Commonwealth of Independent States (CIS)	Plurilateral	No	No
Singapore - Chinese Taipei	439	2013-11-07	SGP	TWN	2013	201	East Asia	Bilateral	No	Yes
New Zealand - Chinese Taipei	436	2013-07-10	NZL	TWN	2013	201	East Asia; Oceania	Bilateral	Yes	Yes
India - Thailand	435	2003-10-09	IND	THA	2003	200	West Asia; East Asia	Bilateral	Yes	Yes
Ukraine - Montenegro	434	2011-11-18	MNE	UKR	2011	201	Europe; Commonwealth of Independent States (CIS)	Bilateral	Yes	Yes
Russian Federation - Serbia	430	2000-08-28	RUS	SRB	2000	200	Commonwealth of Independent States (CIS); Europe	Bilateral	Yes	No
EU - Rep. of  Moldova	428	2014-06-27	AUT BEL BGR CYP CZE DEU DNK ESP EST FIN FRA GBR GRC HRV HUN IRL ITA LTU LUX LVA MDA MLT NLD POL PRT ROU SVK SVN SWE		2014	201	Europe; Commonwealth of Independent States (CIS)	Bilateral; One Party is an RTA	Yes	Yes
EU - Georgia	427	2014-06-27	AUT BEL BGR CYP CZE DEU DNK ESP EST FIN FRA GBR GEO GRC HRV HUN IRL ITA LTU LUX LVA MLT NLD POL PRT ROU SVK SVN SWE		2014	201	Europe; Commonwealth of Independent States (CIS)	Bilateral; One Party is an RTA	Yes	Yes
East African Community (EAC) - Accession of Burundi and Rwanda	426	2007-06-18	KEN TZA UGA		2007	200	Africa	Plurilateral	No	Yes
Japan - Mongolia	425	2015-02-10	JPN	MNG	2015	201	East Asia	Bilateral	No	Yes
Turkey - Malaysia	419	2014-04-17	MYS	TUR	2014	201	East Asia; Europe	Bilateral	Yes	Yes
Turkey - Mauritius	418	2011-09-09	MUS	TUR	2011	201	Africa; Europe	Bilateral	Yes	Yes
EFTA - Central America (Costa Rica and Panama)	416	2013-06-24	CHE CRI ISL LIE NOR PAN		2013	201	Central America; Europe	Plurilateral; One Party is an RTA	Yes	Yes
EFTA - Montenegro	415	2011-11-14	CHE ISL LIE MNE NOR		2011	201	Europe	Bilateral; One Party is an RTA	No	Yes
Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS)	413	2011-10-18	ARM BLR KAZ KGZ MDA RUS TJK UKR		2011	201	Commonwealth of Independent States (CIS)	Plurilateral	No	No
Japan - Peru	412	2011-05-31	JPN	PER	2011	201	East Asia; South America	Bilateral	Yes	Yes
EU - Papua New Guinea / Fiji	411	2009-07-30	AUT BEL BGR CYP CZE DEU DNK ESP EST FIN FJI FRA GBR GRC HUN IRL ITA LTU LUX LVA MLT NLD PNG POL PRT ROU SVK SVN SWE		2009	200	Europe; Oceania	Plurilateral; One Party is an RTA	Yes	Yes
Southern Common Market (MERCOSUR) - Southern African Customs Union (SACU)	409	2008-12-15	ARG BRA BWA LSO NAM PRY SWZ URY ZAF		2008	200	South America; Africa	Bilateral; All Parties are RTAs	Yes	Yes
Hong Kong, China - Chile	408	2012-12-07	CHL	HKG	2012	201	South America; East Asia	Bilateral	Yes	Yes
EFTA - Bosnia and Herzegovina	405	2013-06-24	BIH CHE ISL LIE NOR		2013	201	Europe	Bilateral; One Party is an RTA	No	No
Korea, Republic of - India	404	2009-08-07	IND	KOR	2009	200	West Asia; East Asia	Bilateral	Yes	Yes
The Cross-Straits Economic Cooperation Framework Agreement (ECFA)	403	2010-06-29	CHN	TWN	2010	201	East Asia		No	Yes
EU - Serbia	402	2008-04-29	AUT BEL BGR CYP CZE DEU DNK ESP EST FIN FRA GBR GRC HUN IRL ITA LTU LUX LVA MLT NLD POL PRT ROU SRB SVK SVN SWE		2008	200	Europe	Bilateral; One Party is an RTA	No	No
Rep. of Korea - Viet Nam	401	2015-05-05	KOR	VNM	2015	201	East Asia	Bilateral	No	Yes
Turkey - Montenegro	400	2008-11-26	MNE	TUR	2008	200	Europe	Bilateral	No	Yes
EU - Egypt	40	2001-06-25	AUT BEL CYP CZE DEU DNK EGY ESP EST FIN FRA GBR GRC HUN IRL ITA LTU LUX LVA MLT NLD POL PRT SVK SVN SWE		2001	200	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes
Central European Free Trade Agreement (CEFTA) 2006	4	2006-12-19	ALB BGR BIH HRV MDA MKD MNE ROU SRB		2006	200	Europe; Commonwealth of Independent States (CIS)	Plurilateral	Yes	No
Korea, Republic of - Turkey	399	2012-08-01	KOR	TUR	2012	201	East Asia; Europe	Bilateral	Yes	Yes
China - Rep. of Korea	398	2015-06-01	CHN	KOR	2015	201	East Asia	Bilateral	No	Yes
Korea, Republic of -  Colombia	397	2013-02-21	COL	KOR	2013	201	South America; East Asia	Bilateral	Yes	Yes
Canada - Ukraine	396	2016-07-11	CAN	UKR	2016	201	North America; Commonwealth of Independent States (CIS)	Bilateral	Yes	Yes
EU - Colombia and Peru	395	2012-06-26	AUT BEL BGR COL CYP CZE DEU DNK ESP EST FIN FRA GBR GRC HUN IRL ITA LTU LUX LVA MLT NLD PER POL PRT ROU SVK SVN SWE		2012	201	Europe; South America	Plurilateral; One Party is an RTA	Yes	Yes
EFTA - Hong Kong, China	394	2011-06-21	CHE HKG ISL LIE NOR		2011	201	East Asia; Europe	Bilateral; One Party is an RTA	Yes	Yes
Chile - Viet Nam	393	2011-11-11	CHL	VNM	2011	201	South America; East Asia	Bilateral	Yes	Yes
EU - Ukraine	392	2014-06-27	AUT BEL BGR CYP CZE DEU DNK ESP EST FIN FRA GBR GRC HRV HUN IRL ITA LTU LUX LVA MLT NLD POL PRT ROU SVK SVN SWE UKR		2014	201	Europe; Commonwealth of Independent States (CIS)	Bilateral; One Party is an RTA	Yes	Yes
EU - Cameroon	391	2009-01-15	AUT BEL BGR CMR CYP CZE DEU DNK ESP EST FIN FRA GBR GRC HUN IRL ITA LTU LUX LVA MLT NLD POL PRT ROU SVK SVN SWE		2009	200	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes
Costa Rica - Singapore	390	2010-04-06	CRI	SGP	2010	201	Central America; East Asia	Bilateral	Yes	Yes
EFTA - Chile	39	2003-06-26	CHE CHL ISL LIE NOR		2003	200	South America; Europe	Bilateral; One Party is an RTA	Yes	Yes
China - Costa Rica	389	2010-04-08	CHN	CRI	2010	201	East Asia; Central America	Bilateral	Yes	Yes
EU - Central America	388	2012-06-29	AUT BEL BGR CRI CYP CZE DEU DNK ESP EST FIN FRA GBR GRC GTM HND HUN IRL ITA LTU LUX LVA MLT NIC NLD PAN POL PRT ROU SLV SVK SVN SWE		2012	201	Europe; Central America	Plurilateral; One Party is an RTA	Yes	Yes
Canada - Peru	387	2008-05-29	CAN	PER	2008	200	North America; South America	Bilateral	Yes	Yes
Nicaragua - Chinese Taipei	386	2006-06-16	NIC	TWN	2006	200	East Asia; Central America	Bilateral	Yes	Yes
Peru - China	385	2009-04-28	CHN	PER	2009	200	East Asia; South America	Bilateral	Yes	Yes
China - New Zealand	384	2008-04-07	CHN	NZL	2008	200	East Asia; Oceania	Bilateral	Yes	Yes
Peru - Korea, Republic of	380	2011-03-21	KOR	PER	2011	201	East Asia; South America	Bilateral	Yes	Yes
ASEAN - China	38	2004-11-29	BRN CHN IDN KHM LAO MMR MYS PHL SGP THA VNM		2004	200	East Asia	Bilateral; One Party is an RTA	No	Yes
Rep. of Korea - New Zealand	379	2015-03-23	KOR	NZL	2015	201	East Asia; Oceania	Bilateral	Yes	Yes
Mauritius - Pakistan	378	2007-07-30	MUS	PAK	2007	200	Africa; West Asia	Bilateral	Yes	Yes
Turkey - Georgia	377	2007-11-21	GEO	TUR	2007	200	Commonwealth of Independent States (CIS); Europe	Bilateral	Yes	Yes
Switzerland - China	376	2013-07-06	CHE	CHN	2013	201	East Asia; Europe	Bilateral	Yes	Yes
Turkey - Serbia	375	2009-06-01	SRB	TUR	2009	200	Europe	Bilateral	No	No
Chile - India	374	2006-03-08	CHL	IND	2006	200	South America; West Asia	Bilateral	Yes	Yes
EU - Côte d'Ivoire	373	2008-11-26	AUT BEL BGR CIV CYP CZE DEU DNK ESP EST FIN FRA GBR GRC HUN IRL ITA LTU LUX LVA MLT NLD POL PRT ROU SVK SVN SWE		2008	200	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes
Japan - Philippines	372	2006-09-09	JPN	PHL	2006	200	East Asia	Bilateral	No	Yes
EFTA - SACU	371	2006-06-26	BWA CHE ISL LIE LSO NAM NOR SWZ ZAF		2006	200	Africa; Europe	Bilateral; All Parties are RTAs	Yes	Yes
GUAM	370	2002-07-20	AZE GEO MDA UKR		2002	200	Commonwealth of Independent States (CIS)	Plurilateral	No	No
US - Australia	37	2004-05-18	AUS	USA	2004	200	Oceania; North America	Bilateral	Yes	Yes
Canada - Panama	369	2010-05-14	CAN	PAN	2010	201	North America; Central America	Bilateral	Yes	Yes
EU - CARIFORUM States EPA	368	2008-10-15	ATG AUT BEL BGR BHS BLZ BRB CYP CZE DEU DMA DNK DOM ESP EST FIN FRA GBR GRC GRD GUY HUN IRL ITA JAM KNA LCA LTU LUX LVA MLT NLD POL PRT ROU SUR SVK SVN SWE TTO VCT		2008	200	Caribbean; Europe; Central America; South America	Plurilateral; One Party is an RTA	Yes	No
EFTA - Ukraine	367	2010-06-24	CHE ISL LIE NOR UKR		2010	201	Europe; Commonwealth of Independent States (CIS)	Bilateral; One Party is an RTA	Yes	Yes
EFTA - Serbia	366	2009-12-17	CHE ISL LIE NOR SRB		2009	200	Europe	Bilateral; One Party is an RTA	No	No
EFTA - Albania	365	2009-12-17	ALB CHE ISL LIE NOR		2009	200	Europe	Bilateral; One Party is an RTA	No	Yes
Agadir Agreement	364	2004-02-25	EGY JOR MAR TUN		2004	200	Africa; Middle East	Plurilateral	Yes	Yes
Pacific Island Countries Trade Agreement (PICTA)	363	2001-08-18	COK FJI FSM KIR NIU NRU PNG SLB TON TUV VUT WSM		2001	200	Oceania	Plurilateral	No	No
Common Economic Zone (CEZ)	361	2003-09-19	BLR KAZ RUS UKR		2003	200	Commonwealth of Independent States (CIS)	Plurilateral	No	No
Thailand - Australia	36	2004-07-05	AUS	THA	2004	200	Oceania; East Asia	Bilateral	Yes	Yes
Ukraine - Tajikistan	358	2001-07-06	TJK	UKR	2001	200	Commonwealth of Independent States (CIS)	Bilateral	No	Yes
Ukraine - Moldova	357	2003-11-13	MDA	UKR	2003	200	Commonwealth of Independent States (CIS)	Bilateral	No	Yes
Ukraine - Former Yugoslav Republic of Macedonia	356	2001-01-18	MKD	UKR	2001	200	Europe; Commonwealth of Independent States (CIS)	Bilateral	Yes	Yes
Canada - Jordan	352	2009-06-28	CAN	JOR	2009	200	North America; Middle East	Bilateral	Yes	Yes
Brunei Darussalam - Japan	351	2007-06-18	BRN	JPN	2007	200	East Asia	Bilateral	No	Yes
Iceland - Faroe Islands	350	2005-08-31	FRO	ISL	2005	200	Europe	Bilateral	No	No
EU - Bosnia and Herzegovina	349	2008-06-16	AUT BEL BGR BIH CYP CZE DEU DNK ESP EST FIN FRA GBR GRC HUN IRL ITA LTU LUX LVA MLT NLD POL PRT ROU SVK SVN SWE		2008	200	Europe	Bilateral; One Party is an RTA	No	No
India - Bhutan	348	2006-07-28	BTN	IND	2006	200	West Asia	Bilateral	No	No
Pakistan - Sri Lanka	347	2002-08-01	LKA	PAK	2002	200	West Asia	Bilateral	No	Yes
Turkey - Albania	346	2006-12-22	ALB	TUR	2006	200	Europe	Bilateral	No	Yes
India - Malaysia	345	2011-02-18	IND	MYS	2011	201	West Asia; East Asia	Bilateral	Yes	Yes
Turkey - Chile	344	2009-07-14	CHL	TUR	2009	200	South America; Europe	Bilateral	Yes	Yes
Korea, Republic of - Australia	343	2014-04-08	AUS	KOR	2014	201	Oceania; East Asia	Bilateral	Yes	Yes
US - Colombia	342	2006-11-22	COL	USA	2006	200	South America; North America	Bilateral	Yes	Yes
El Salvador- Honduras - Chinese Taipei	341	2007-05-07	HND SLV TWN		2007	200	East Asia; Central America	Plurilateral	Yes	Yes
MERCOSUR - India	340	2004-01-25	ARG BRA IND PRY URY		2004	200	South America; West Asia	Bilateral; One Party is an RTA	Yes	Yes
Japan - Mexico	34	2004-09-17	JPN	MEX	2004	200	East Asia; North America	Bilateral	Yes	Yes
Turkey - Jordan	337	2009-12-01	JOR	TUR	2009	200	Middle East; Europe	Bilateral	Yes	Yes
China - Singapore	336	2008-10-23	CHN	SGP	2008	200	East Asia	Bilateral	No	Yes
Peru - Singapore	335	2008-05-29	PER	SGP	2008	200	South America; East Asia	Bilateral	Yes	Yes
New Zealand - Malaysia	334	2009-10-26	MYS	NZL	2009	200	East Asia; Oceania	Bilateral	Yes	Yes
Hong Kong, China - New Zealand	333	2010-03-29	HKG	NZL	2010	201	East Asia; Oceania	Bilateral	Yes	Yes
EU - Eastern and Southern Africa States Interim EPA	332	2009-08-29	AUT BEL BGR CYP CZE DEU DNK ESP EST FIN FRA GBR GRC HUN IRL ITA LTU LUX LVA MDG MLT MUS NLD POL PRT ROU SVK SVN SWE SYC ZWE		2009	200	Europe; Africa	Plurilateral; One Party is an RTA	Yes	Yes
EFTA - GCC	331	2009-06-22	ARE BHR CHE ISL KWT LIE NOR OMN QAT SAU		2009	200	Middle East; Europe	Bilateral; All Parties are RTAs	Yes	Yes
Iceland - China	330	2013-04-15	CHN	ISL	2013	201	East Asia; Europe	Bilateral	Yes	Yes
EFTA - Tunisia	33	2004-12-17	CHE ISL LIE NOR TUN		2004	200	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes
Chile - Malaysia	329	2010-11-13	CHL	MYS	2010	201	South America; East Asia	Bilateral	Yes	Yes
ASEAN - India	328	2009-08-13	BRN IDN IND KHM LAO MMR MYS PHL SGP THA VNM		2009	200	East Asia; West Asia	Bilateral; One Party is an RTA	Yes	Yes
ASEAN - Australia - New Zealand	327	2009-02-27	AUS BRN IDN KHM LAO MMR MYS NZL PHL SGP THA VNM		2009	200	Oceania; East Asia	Plurilateral; One Party is an RTA	Yes	Yes
Panama - Chinese Taipei	326	2003-08-21	PAN	TWN	2003	200	East Asia; Central America	Bilateral	Yes	Yes
Guatemala - Chinese Taipei	325	2005-09-22	GTM	TWN	2005	200	East Asia; Central America	Bilateral	Yes	Yes
India - Nepal	324	2009-10-27	IND	NPL	2009	200	West Asia	Bilateral	No	Yes
India - Afghanistan	323	2003-03-06	AFG	IND	2003	200	West Asia	Bilateral	No	No
Turkey - Tunisia	31	2004-11-25	TUN	TUR	2004	200	Africa; Europe	Bilateral	Yes	Yes
Slovenia - Bosnia and Herzegovina	303	2001-10-03	BIH	SVN	2001	200	Europe	Bilateral	No	No
Turkey - Palestinian Authority	30	2004-07-20	PSE	TUR	2004	200	Middle East; Europe	Bilateral	Yes	No
Chile - Japan	3	2007-03-27	CHL	JPN	2007	200	South America; East Asia	Bilateral	Yes	Yes
Romania - Serbia and Montenegro	295	2003-12-23	MNE ROU SRB		2003	200	Europe	Bilateral	No	Yes
Romania - Israel	293	2001-01-30	ISR	ROU	2001	200	Middle East; Europe	Bilateral	Yes	Yes
Romania - Former Yugoslav Republic of Macedonia	292	2003-02-07	MKD	ROU	2003	200	Europe	Bilateral	No	Yes
Romania - Bosnia and Herzegovina	291	2003-04-08	BIH	ROU	2003	200	Europe	Bilateral	No	No
EU - Chile	29	2002-11-18	AUT BEL CHL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SWE		2002	200	Europe; South America	Bilateral; One Party is an RTA	Yes	Yes
Moldova - Serbia and Montenegro	286	2003-11-13	MDA MNE SRB		2003	200	Commonwealth of Independent States (CIS)	Bilateral	No	Yes
Moldova - Former Yugoslav Republic of Macedonia	285	2004-01-28	MDA	MKD	2004	200	Commonwealth of Independent States (CIS); Europe	Bilateral	Yes	Yes
Moldova - Croatia	284	2004-02-27	HRV	MDA	2004	200	Europe; Commonwealth of Independent States (CIS)	Bilateral	Yes	Yes
Moldova - Bulgaria	283	2004-05-20	BGR	MDA	2004	200	Europe; Commonwealth of Independent States (CIS)	Bilateral	Yes	Yes
Moldova - Bosnia and Herzegovina	282	2002-12-23	BIH	MDA	2002	200	Europe; Commonwealth of Independent States (CIS)	Bilateral	Yes	No
Thailand - New Zealand	27	2005-04-19	NZL	THA	2005	200	Oceania; East Asia	Bilateral	Yes	Yes
Former Yugoslav Republic of Macedonia  - Bosnia and Herzegovina	265	2002-04-24	BIH	MKD	2002	200	Europe	Bilateral	No	No
US - Morocco	26	2004-06-15	MAR	USA	2004	200	Africa; North America	Bilateral	Yes	Yes
Turkey - Morocco	25	2004-04-07	MAR	TUR	2004	200	Africa; Europe	Bilateral	Yes	Yes
Korea, Republic of - Singapore	24	2005-08-04	KOR	SGP	2005	200	East Asia	Bilateral	No	Yes
Dominican Republic - Central America - United States Free Trade Agreement (CAFTA-DR)	23	2004-08-05	CRI DOM GTM HND NIC SLV USA		2004	200	Central America; Caribbean; North America	Plurilateral	Yes	Yes
Jordan - Singapore	21	2004-05-16	JOR	SGP	2004	200	Middle East; East Asia	Bilateral	Yes	Yes
Japan - Malaysia	20	2005-12-13	JPN	MYS	2005	200	East Asia	Bilateral	No	Yes
Egypt - Turkey	2	2005-12-27	EGY	TUR	2005	200	Africa; Europe	Bilateral	Yes	Yes
Croatia - Serbia and Montenegro	196	2004-01-14	HRV MNE SRB		2004	200	Europe	Plurilateral	No	No
Croatia - Bosnia and Herzegovina	194	2000-12-19	BIH	HRV	2000	200	Europe	Bilateral	No	No
Croatia - Albania	193	2002-09-27	ALB	HRV	2002	200	Europe	Bilateral	No	Yes
EFTA - Korea, Republic of	19	2005-12-15	CHE ISL KOR LIE NOR		2005	200	Europe; East Asia	Bilateral; One Party is an RTA	Yes	Yes
Bulgaria - Serbia and Montenegro	182	2003-11-13	BGR MNE SRB		2003	200	Europe	Plurilateral	No	No
Bulgaria - Lithuania	181	2001-05-08	BGR	LTU	2001	200	Europe	Bilateral	No	Yes
Bulgaria - Latvia	180	2002-10-16	BGR	LVA	2002	200	Europe	Bilateral	No	Yes
Bulgaria - Israel	179	2001-06-08	BGR	ISR	2001	200	Europe; Middle East	Bilateral	Yes	Yes
Bulgaria - Estonia	177	2001-12-11	BGR	EST	2001	200	Europe	Bilateral	No	Yes
Bulgaria - Bosnia and Herzegovina	176	2003-10-16	BGR	BIH	2003	200	Europe	Bilateral	No	No
Albania - UNMIC/Kosovo	171	2003-07-07	ALB	RKS	2003	200	Europe	Bilateral	No	No
Albania - Serbia and Montenegro	170	2003-11-13	ALB MNE SRB		2003	200	Europe	Plurilateral	No	No
US - Bahrain	17	2005-09-14	BHR	USA	2005	200	Middle East; North America	Bilateral	Yes	Yes
Albania - Romania	169	2003-06-01	ALB	ROU	2003	200	Europe	Bilateral	No	Yes
Albania - Moldova	168	2003-11-13	ALB	MDA	2003	200	Europe; Commonwealth of Independent States (CIS)	Bilateral	Yes	Yes
Albania - Former Yugoslav Republic of Macedonia	167	2002-03-29	ALB	MKD	2002	200	Europe	Bilateral	No	Yes
Albania - Bulgaria	166	2003-03-26	ALB	BGR	2003	200	Europe	Bilateral	No	Yes
Albania - Bosnia and Herzegovina	165	2003-04-28	ALB	BIH	2003	200	Europe	Bilateral	No	No
South Asian Free Trade Agreement (SAFTA)	162	2004-01-06	BGD BTN IND LKA MDV NPL PAK		2004	200	West Asia	Plurilateral	No	No
Pakistan - Malaysia	161	2007-11-08	MYS	PAK	2007	200	East Asia; West Asia	Bilateral	Yes	Yes
Malaysia - Australia	160	2012-05-22	AUS	MYS	2012	201	Oceania; East Asia	Bilateral	Yes	Yes
EU - Algeria	16	2002-04-22	AUT BEL CYP CZE DEU DNK DZA ESP EST FIN FRA GBR GRC HUN IRL ITA LTU LUX LVA MLT NLD POL PRT SVK SVN SWE		2002	200	Africa; Europe	Bilateral; One Party is an RTA	Yes	No
Korea, Republic of - US	159	2007-06-30	KOR	USA	2007	200	East Asia; North America	Bilateral	Yes	Yes
US - Oman	158	2006-01-19	OMN	USA	2006	200	Middle East; North America	Bilateral	Yes	Yes
US - Panama	157	2007-06-28	PAN	USA	2007	200	Central America; North America	Bilateral	Yes	Yes
US - Peru	156	2006-04-12	PER	USA	2006	200	South America; North America	Bilateral	Yes	Yes
Japan - Switzerland	155	2009-02-19	CHE	JPN	2009	200	East Asia; Europe	Bilateral	Yes	Yes
EFTA - Peru	154	2010-06-24	CHE ISL LIE NOR PER		2010	201	Europe; South America	Bilateral; One Party is an RTA	Yes	Yes
EFTA - Colombia	153	2008-11-25	CHE COL ISL LIE NOR		2008	200	South America; Europe	Bilateral; One Party is an RTA	Yes	Yes
ASEAN - Japan	152	2008-03-26	BRN IDN JPN KHM LAO MMR MYS PHL SGP THA VNM		2008	200	East Asia	Bilateral; One Party is an RTA	No	Yes
Japan - Australia	151	2014-07-08	AUS	JPN	2014	201	Oceania; East Asia	Bilateral	Yes	Yes
India - Japan	150	2011-02-16	IND	JPN	2011	201	West Asia; East Asia	Bilateral	Yes	Yes
Gulf Cooperation Council (GCC)	15	2001-12-31	ARE BHR KWT OMN QAT SAU		2001	200	Middle East	Plurilateral	No	Yes
Japan - Indonesia	149	2007-08-20	IDN	JPN	2007	200	East Asia	Bilateral	No	Yes
Japan - Viet Nam	148	2008-12-25	JPN	VNM	2008	200	East Asia	Bilateral	No	Yes
ASEAN - Korea, Republic of	147	2006-08-24	BRN IDN KHM KOR LAO MMR MYS PHL SGP THA VNM		2006	200	East Asia	Bilateral; One Party is an RTA	No	Yes
Canada - Rep. of Korea	146	2014-09-22	CAN	KOR	2014	201	North America; East Asia	Bilateral	Yes	Yes
EU - Korea, Republic of	145	2010-10-06	AUT BEL BGR CYP CZE DEU DNK ESP EST FIN FRA GBR GRC HUN IRL ITA KOR LTU LUX LVA MLT NLD POL PRT ROU SVK SVN SWE		2010	201	Europe; East Asia	Bilateral; One Party is an RTA	Yes	Yes
Canada - Colombia	144	2008-11-21	CAN	COL	2008	200	North America; South America	Bilateral	Yes	Yes
EFTA - Canada	143	2008-01-26	CAN CHE ISL LIE NOR		2008	200	North America; Europe	Bilateral; One Party is an RTA	Yes	Yes
Australia - Chile	142	2008-07-30	AUS	CHL	2008	200	Oceania; South America	Bilateral	Yes	Yes
Australia - China	141	2015-06-17	AUS	CHN	2015	201	Oceania; East Asia	Bilateral	Yes	Yes
EU - Montenegro	140	2007-10-15	AUT BEL BGR CYP CZE DEU DNK ESP EST FIN FRA GBR GRC HUN IRL ITA LTU LUX LVA MLT MNE NLD POL PRT ROU SVK SVN SWE		2007	200	Europe	Bilateral; One Party is an RTA	No	Yes
Pakistan - China	139	2006-11-24	CHN	PAK	2006	200	East Asia; West Asia	Bilateral	Yes	Yes
