tota_name	docid	year	decade	new_name3_matt	doc_chapter_id
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	Objectives, Definitions and Scope	pta_8_90
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	Trade in Goods	pta_8_91
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	Rules of origin	pta_8_92
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	Border Measures	pta_8_93
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	Trade Remedies	pta_8_94
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	Technical Regulations And Barriers To Trade	pta_8_95
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	Technical Regulations And Barriers To Trade	pta_8_96
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	Competition-Related Matters	pta_8_97
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	Intellectual Property	pta_8_98
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	Government Procurement	pta_8_99
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	Trade In Services	pta_8_100
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	Movement Of Persons	pta_8_101
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	Transparency	pta_8_102
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	Dispute Settlement	pta_8_103
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	General Provisions	pta_8_104
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	Administration	pta_8_105
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	General Provisions	pta_8_106
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	Trade Remedies	pta_8_107
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	General Provisions	pta_8_108
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	Conclusions	pta_8_109
Israel - Mexico	pta_72	2000	200	Preamble	pta_72_954
Israel - Mexico	pta_72	2000	200	General Provisions	pta_72_955
Israel - Mexico	pta_72	2000	200	Trade in Goods	pta_72_956
Israel - Mexico	pta_72	2000	200	Rules of origin	pta_72_957
Israel - Mexico	pta_72	2000	200	Border Measures	pta_72_958
Israel - Mexico	pta_72	2000	200	Trade Remedies	pta_72_959
Israel - Mexico	pta_72	2000	200	Government Procurement	pta_72_960
Israel - Mexico	pta_72	2000	200	Institutions	pta_72_961
Israel - Mexico	pta_72	2000	200	Competition-Related Matters	pta_72_962
Israel - Mexico	pta_72	2000	200	Legal And Judicial Affairs	pta_72_963
Israel - Mexico	pta_72	2000	200	Institutions	pta_72_964
Israel - Mexico	pta_72	2000	200	Trade Remedies	pta_72_965
Israel - Mexico	pta_72	2000	200	General Provisions	pta_72_966
Israel - Mexico	pta_72	2000	200	Conclusions	pta_72_967
EFTA - Mexico	pta_70	2000	200	Preamble	pta_70_929
EFTA - Mexico	pta_70	2000	200	Trade in Goods	pta_70_930
EFTA - Mexico	pta_70	2000	200	Trade In Services	pta_70_931
EFTA - Mexico	pta_70	2000	200	Competition-Related Matters	pta_70_932
EFTA - Mexico	pta_70	2000	200	Government Procurement	pta_70_933
EFTA - Mexico	pta_70	2000	200	Intellectual Property	pta_70_934
EFTA - Mexico	pta_70	2000	200	Institutions	pta_70_935
EFTA - Mexico	pta_70	2000	200	Dispute Settlement	pta_70_936
EFTA - Mexico	pta_70	2000	200	General Provisions	pta_70_937
EFTA - Mexico	pta_70	2000	200	Conclusions	pta_70_938
Chile - China	pta_7	2005	200	Preamble	pta_7_72
Chile - China	pta_7	2005	200	General Provisions	pta_7_73
Chile - China	pta_7	2005	200	Objectives, Definitions and Scope	pta_7_74
Chile - China	pta_7	2005	200	Border Measures	pta_7_75
Chile - China	pta_7	2005	200	Rules of origin	pta_7_76
Chile - China	pta_7	2005	200	Rules of origin	pta_7_77
Chile - China	pta_7	2005	200	Trade Remedies	pta_7_78
Chile - China	pta_7	2005	200	Technical Regulations And Barriers To Trade	pta_7_79
Chile - China	pta_7	2005	200	Technical Regulations And Barriers To Trade	pta_7_80
Chile - China	pta_7	2005	200	Transparency	pta_7_81
Chile - China	pta_7	2005	200	Dispute Settlement	pta_7_82
Chile - China	pta_7	2005	200	Administration	pta_7_83
Chile - China	pta_7	2005	200	Trade Remedies	pta_7_84
Chile - China	pta_7	2005	200	General Provisions	pta_7_85
Chile - China	pta_7	2005	200	General Provisions	pta_7_86
Chile - China	pta_7	2005	200	Conclusions	pta_7_87
New Zealand - Singapore	pta_69	2000	200	Preamble	pta_69_916
New Zealand - Singapore	pta_69	2000	200	Objectives, Definitions and Scope	pta_69_917
New Zealand - Singapore	pta_69	2000	200	Competition-Related Matters	pta_69_918
New Zealand - Singapore	pta_69	2000	200	Trade in Goods	pta_69_919
New Zealand - Singapore	pta_69	2000	200	Border Measures	pta_69_920
New Zealand - Singapore	pta_69	2000	200	Trade In Services	pta_69_921
New Zealand - Singapore	pta_69	2000	200	Investment	pta_69_922
New Zealand - Singapore	pta_69	2000	200	Technical Regulations And Barriers To Trade	pta_69_923
New Zealand - Singapore	pta_69	2000	200	Government Procurement	pta_69_924
New Zealand - Singapore	pta_69	2000	200	Intellectual Property	pta_69_925
New Zealand - Singapore	pta_69	2000	200	Dispute Settlement	pta_69_926
New Zealand - Singapore	pta_69	2000	200	General Provisions	pta_69_927
New Zealand - Singapore	pta_69	2000	200	Conclusions	pta_69_928
EU - Former Yugoslav Republic of Macedonia	pta_68	2001	200	Preamble	pta_68_909
EU - Former Yugoslav Republic of Macedonia	pta_68	2001	200	Objectives, Definitions and Scope	pta_68_910
EU - Former Yugoslav Republic of Macedonia	pta_68	2001	200	Industry	pta_68_911
EU - Former Yugoslav Republic of Macedonia	pta_68	2001	200	Agriculture	pta_68_912
EU - Former Yugoslav Republic of Macedonia	pta_68	2001	200	General Provisions	pta_68_913
EU - Former Yugoslav Republic of Macedonia	pta_68	2001	200	Economic Co-operation	pta_68_914
EU - Former Yugoslav Republic of Macedonia	pta_68	2001	200	Institutions	pta_68_915
EU - Mexico	pta_65	1997	199	Preamble	pta_65_889
EU - Mexico	pta_65	1997	199	General Provisions	pta_65_890
EU - Mexico	pta_65	1997	199	General Provisions	pta_65_891
EU - Mexico	pta_65	1997	199	Fisheries And Maritime	pta_65_892
EU - Mexico	pta_65	1997	199	Trade In Services	pta_65_893
EU - Mexico	pta_65	1997	199	Trade Remedies	pta_65_894
EU - Mexico	pta_65	1997	199	Investment	pta_65_895
EU - Mexico	pta_65	1997	199	Intellectual Property	pta_65_896
EU - Mexico	pta_65	1997	199	Objectives, Definitions and Scope	pta_65_897
EU - Mexico	pta_65	1997	199	Dispute Settlement	pta_65_898
EU - Mexico	pta_65	1997	199	Dispute Settlement	pta_65_899
EU - Mexico	pta_65	1997	199	Trade-Related Provisions	pta_65_900
EU - Mexico	pta_65	1997	199	General Provisions	pta_65_901
EU - Mexico	pta_65	1997	199	Conclusions	pta_65_902
Japan - Singapore	pta_62	2002	200	Preamble	pta_62_859
Japan - Singapore	pta_62	2002	200	General Provisions	pta_62_860
Japan - Singapore	pta_62	2002	200	Trade in Goods	pta_62_861
Japan - Singapore	pta_62	2002	200	Rules of origin	pta_62_862
Japan - Singapore	pta_62	2002	200	Border Measures	pta_62_863
Japan - Singapore	pta_62	2002	200	Trade Facilitation	pta_62_864
Japan - Singapore	pta_62	2002	200	Mutual Recognition	pta_62_865
Japan - Singapore	pta_62	2002	200	Trade In Services	pta_62_866
Japan - Singapore	pta_62	2002	200	Investment	pta_62_867
Japan - Singapore	pta_62	2002	200	Movement Of Persons	pta_62_868
Japan - Singapore	pta_62	2002	200	Intellectual Property	pta_62_869
Japan - Singapore	pta_62	2002	200	Government Procurement	pta_62_870
Japan - Singapore	pta_62	2002	200	Competition-Related Matters	pta_62_871
Japan - Singapore	pta_62	2002	200	Trade In Services	pta_62_872
Japan - Singapore	pta_62	2002	200	Science, Technology And Information	pta_62_873
Japan - Singapore	pta_62	2002	200	Science, Technology And Information	pta_62_874
Japan - Singapore	pta_62	2002	200	Social Matters	pta_62_875
Japan - Singapore	pta_62	2002	200	Trade Facilitation	pta_62_876
Japan - Singapore	pta_62	2002	200	Private Sector And Business	pta_62_877
Japan - Singapore	pta_62	2002	200	Cultural Matters	pta_62_878
Japan - Singapore	pta_62	2002	200	Movement Of Persons	pta_62_879
Japan - Singapore	pta_62	2002	200	Dispute Settlement	pta_62_880
Japan - Singapore	pta_62	2002	200	General Provisions	pta_62_881
Japan - Singapore	pta_62	2002	200	Conclusions	pta_62_882
EU - Jordan	pta_61	1997	199	Preamble	pta_61_71
EU - Jordan	pta_61	1997	199	Instituitons	pta_61_844
EU - Jordan	pta_61	1997	199	Industry	pta_61_845
EU - Jordan	pta_61	1997	199	Agriculture	pta_61_846
EU - Jordan	pta_61	1997	199	Trade In Services	pta_61_847
EU - Jordan	pta_61	1997	199	Trade In Services	pta_61_848
EU - Jordan	pta_61	1997	199	General Provisions	pta_61_849
EU - Jordan	pta_61	1997	199	Payments And Movement Of Capital	pta_61_850
EU - Jordan	pta_61	1997	199	Competition-Related Matters	pta_61_851
EU - Jordan	pta_61	1997	199	Economic Co-operation	pta_61_852
EU - Jordan	pta_61	1997	199	Social Matters	pta_61_853
EU - Jordan	pta_61	1997	199	Social Matters	pta_61_854
EU - Jordan	pta_61	1997	199	Cultural Matters	pta_61_855
EU - Jordan	pta_61	1997	199	Financial Co-operation	pta_61_856
EU - Jordan	pta_61	1997	199	Institutions	pta_61_857
EU - Jordan	pta_61	1997	199	Conclusions	pta_61_858
EU - Croatia	pta_60	2001	200	Preamble	pta_60_826
EU - Croatia	pta_60	2001	200	Objectives, Definitions and Scope	pta_60_827
EU - Croatia	pta_60	2001	200	Social Matters	pta_60_828
EU - Croatia	pta_60	2001	200	Market Access And Integration	pta_60_829
EU - Croatia	pta_60	2001	200	Industry	pta_60_830
EU - Croatia	pta_60	2001	200	Agriculture	pta_60_831
EU - Croatia	pta_60	2001	200	General Provisions	pta_60_832
EU - Croatia	pta_60	2001	200	Movement Of Persons	pta_60_833
EU - Croatia	pta_60	2001	200	Accession, Withdrawal And Entry Into Force	pta_60_834
EU - Croatia	pta_60	2001	200	Trade In Services	pta_60_835
EU - Croatia	pta_60	2001	200	Payments And Movement Of Capital	pta_60_836
EU - Croatia	pta_60	2001	200	General Provisions	pta_60_837
EU - Croatia	pta_60	2001	200	Legal And Judicial Affairs	pta_60_838
EU - Croatia	pta_60	2001	200	Legal And Judicial Affairs	pta_60_839
EU - Croatia	pta_60	2001	200	General Provisions	pta_60_840
EU - Croatia	pta_60	2001	200	Financial Co-operation	pta_60_841
EU - Croatia	pta_60	2001	200	Institutions	pta_60_842
EU - Croatia	pta_60	2001	200	Conclusions	pta_60_843
Southern African Customs Union (SACU)	pta_6	2002	200	Preamble	pta_6_61
Southern African Customs Union (SACU)	pta_6	2002	200	Objectives, Definitions and Scope	pta_6_62
Southern African Customs Union (SACU)	pta_6	2002	200	Accession, Withdrawal And Entry Into Force	pta_6_63
Southern African Customs Union (SACU)	pta_6	2002	200	Institutions	pta_6_64
Southern African Customs Union (SACU)	pta_6	2002	200	Administration	pta_6_65
Southern African Customs Union (SACU)	pta_6	2002	200	Trade Facilitation	pta_6_66
Southern African Customs Union (SACU)	pta_6	2002	200	Financial Co-operation	pta_6_67
Southern African Customs Union (SACU)	pta_6	2002	200	Financial Co-operation	pta_6_68
Southern African Customs Union (SACU)	pta_6	2002	200	General Provisions	pta_6_69
Southern African Customs Union (SACU)	pta_6	2002	200	General Provisions	pta_6_70
Southern African Customs Union (SACU)	pta_6	2002	200	Conclusions	pta_6_71
Canada - Costa Rica	pta_59	2001	200	Preamble	pta_59_810
Canada - Costa Rica	pta_59	2001	200	Objectives, Definitions and Scope	pta_59_811
Canada - Costa Rica	pta_59	2001	200	Objectives, Definitions and Scope	pta_59_812
Canada - Costa Rica	pta_59	2001	200	Border Measures	pta_59_813
Canada - Costa Rica	pta_59	2001	200	Rules of origin	pta_59_814
Canada - Costa Rica	pta_59	2001	200	Border Measures	pta_59_815
Canada - Costa Rica	pta_59	2001	200	Trade Remedies	pta_59_816
Canada - Costa Rica	pta_59	2001	200	Trade Remedies	pta_59_817
Canada - Costa Rica	pta_59	2001	200	Trade In Services	pta_59_818
Canada - Costa Rica	pta_59	2001	200	Trade Facilitation	pta_59_819
Canada - Costa Rica	pta_59	2001	200	Movement Of Persons	pta_59_820
Canada - Costa Rica	pta_59	2001	200	Competition-Related Matters	pta_59_821
Canada - Costa Rica	pta_59	2001	200	Legal And Judicial Affairs	pta_59_822
Canada - Costa Rica	pta_59	2001	200	Institutions	pta_59_823
Canada - Costa Rica	pta_59	2001	200	Trade Remedies	pta_59_824
Canada - Costa Rica	pta_59	2001	200	General Provisions	pta_59_825
EFTA - Singapore	pta_58	2002	200	Preamble	pta_58_798
EFTA - Singapore	pta_58	2002	200	General Provisions	pta_58_799
EFTA - Singapore	pta_58	2002	200	Trade in Goods	pta_58_800
EFTA - Singapore	pta_58	2002	200	Trade In Services	pta_58_801
EFTA - Singapore	pta_58	2002	200	Investment	pta_58_802
EFTA - Singapore	pta_58	2002	200	Competition-Related Matters	pta_58_803
EFTA - Singapore	pta_58	2002	200	Government Procurement	pta_58_804
EFTA - Singapore	pta_58	2002	200	Intellectual Property	pta_58_805
EFTA - Singapore	pta_58	2002	200	Institutions	pta_58_806
EFTA - Singapore	pta_58	2002	200	Dispute Settlement	pta_58_807
EFTA - Singapore	pta_58	2002	200	General Provisions	pta_58_808
EFTA - Singapore	pta_58	2002	200	Conclusions	pta_58_809
EU - Lebanon	pta_57	2002	200	Preamble	pta_57_788
EU - Lebanon	pta_57	2002	200	Objectives, Definitions and Scope	pta_57_789
EU - Lebanon	pta_57	2002	200	Industry	pta_57_790
EU - Lebanon	pta_57	2002	200	Agriculture	pta_57_791
EU - Lebanon	pta_57	2002	200	General Provisions	pta_57_792
EU - Lebanon	pta_57	2002	200	Competition-Related Matters	pta_57_793
EU - Lebanon	pta_57	2002	200	Intellectual Property	pta_57_794
EU - Lebanon	pta_57	2002	200	Border Measures	pta_57_795
EU - Lebanon	pta_57	2002	200	Institutions	pta_57_796
EU - Lebanon	pta_57	2002	200	Conclusions	pta_57_797
Turkey - Croatia	pta_56	2002	200	Preamble	pta_56_782
Turkey - Croatia	pta_56	2002	200	Industry	pta_56_783
Turkey - Croatia	pta_56	2002	200	Agriculture	pta_56_784
Turkey - Croatia	pta_56	2002	200	Trade In Services	pta_56_785
Turkey - Croatia	pta_56	2002	200	General Provisions	pta_56_786
Turkey - Croatia	pta_56	2002	200	Conclusions	pta_56_787
Turkey - Bosnia and Herzegovina	pta_55	2002	200	Preamble	pta_55_778
Turkey - Bosnia and Herzegovina	pta_55	2002	200	Objectives, Definitions and Scope	pta_55_779
Turkey - Bosnia and Herzegovina	pta_55	2002	200	General Provisions	pta_55_780
Turkey - Bosnia and Herzegovina	pta_55	2002	200	Conclusions	pta_55_781
Singapore - Australia	pta_54	2003	200	Preamble	pta_54_759
Singapore - Australia	pta_54	2003	200	Objectives, Definitions and Scope	pta_54_760
Singapore - Australia	pta_54	2003	200	Trade in Goods	pta_54_761
Singapore - Australia	pta_54	2003	200	Rules of origin	pta_54_762
Singapore - Australia	pta_54	2003	200	Border Measures	pta_54_763
Singapore - Australia	pta_54	2003	200	Technical Regulations And Barriers To Trade	pta_54_764
Singapore - Australia	pta_54	2003	200	Government Procurement	pta_54_765
Singapore - Australia	pta_54	2003	200	Trade In Services	pta_54_766
Singapore - Australia	pta_54	2003	200	Investment	pta_54_767
Singapore - Australia	pta_54	2003	200	Trade In Services	pta_54_768
Singapore - Australia	pta_54	2003	200	Transport And Communications	pta_54_769
Singapore - Australia	pta_54	2003	200	Movement Of Persons	pta_54_770
Singapore - Australia	pta_54	2003	200	Competition-Related Matters	pta_54_771
Singapore - Australia	pta_54	2003	200	Intellectual Property	pta_54_772
Singapore - Australia	pta_54	2003	200	Trade Facilitation	pta_54_773
Singapore - Australia	pta_54	2003	200	Social Matters	pta_54_774
Singapore - Australia	pta_54	2003	200	Dispute Settlement	pta_54_775
Singapore - Australia	pta_54	2003	200	General Provisions	pta_54_776
Singapore - Australia	pta_54	2003	200	Conclusions	pta_54_777
US - Chile	pta_53	2003	200	Preamble	pta_53_745
US - Chile	pta_53	2003	200	General Provisions	pta_53_746
US - Chile	pta_53	2003	200	Objectives, Definitions and Scope	pta_53_747
US - Chile	pta_53	2003	200	Border Measures	pta_53_748
US - Chile	pta_53	2003	200	Rules of origin	pta_53_749
US - Chile	pta_53	2003	200	Border Measures	pta_53_750
US - Chile	pta_53	2003	200	Technical Regulations And Barriers To Trade	pta_53_751
US - Chile	pta_53	2003	200	Technical Regulations And Barriers To Trade	pta_53_752
US - Chile	pta_53	2003	200	Trade Remedies	pta_53_753
US - Chile	pta_53	2003	200	Government Procurement	pta_53_754
US - Chile	pta_53	2003	200	Investment	pta_53_755
US - Chile	pta_53	2003	200	Trade In Services	pta_53_756
US - Chile	pta_53	2003	200	Trade In Services	pta_53_757
US - Chile	pta_53	2003	200	Transport And Communications	pta_53_758
US - Singapore	pta_52	2003	200	Preamble	pta_52_722
US - Singapore	pta_52	2003	200	Market Access And Integration	pta_52_723
US - Singapore	pta_52	2003	200	Border Measures	pta_52_724
US - Singapore	pta_52	2003	200	Rules of origin	pta_52_725
US - Singapore	pta_52	2003	200	Border Measures	pta_52_726
US - Singapore	pta_52	2003	200	Industry	pta_52_727
US - Singapore	pta_52	2003	200	Technical Regulations And Barriers To Trade	pta_52_728
US - Singapore	pta_52	2003	200	Trade Remedies	pta_52_729
US - Singapore	pta_52	2003	200	Trade In Services	pta_52_730
US - Singapore	pta_52	2003	200	Transport And Communications	pta_52_731
US - Singapore	pta_52	2003	200	Trade In Services	pta_52_732
US - Singapore	pta_52	2003	200	Movement Of Persons	pta_52_733
US - Singapore	pta_52	2003	200	Competition-Related Matters	pta_52_734
US - Singapore	pta_52	2003	200	Government Procurement	pta_52_735
US - Singapore	pta_52	2003	200	Trade Facilitation	pta_52_736
US - Singapore	pta_52	2003	200	Investment	pta_52_737
US - Singapore	pta_52	2003	200	Intellectual Property	pta_52_738
US - Singapore	pta_52	2003	200	Labour	pta_52_739
US - Singapore	pta_52	2003	200	Environment And Natural Resources	pta_52_740
